City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Valparaiso,CL,64.63,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
150,Goderich,CA,66.52,scattered clouds,43.7501,-81.7165,Harmony Inn
153,Molaoi,GR,63.59,clear sky,36.8076,22.8513,Hotel Gregory Molaoi
158,Rapid Valley,US,75.63,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
159,Bembereke,BJ,73.62,light rain,10.2283,2.6634,Hotel Bio Guera
161,Necochea,AR,60.48,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
164,Axim,GH,76.62,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
166,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
167,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
175,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,Le four à pain
177,Jiaocheng,CN,75.29,broken clouds,24.6774,116.1389,Changtan Tourism Resort
184,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hotel San Juan
185,Calatagan,PH,79.05,overcast clouds,13.8833,120.65,Coral Bay Rest House
188,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
193,Bima,ID,76.6,overcast clouds,-8.4667,118.7167,Lambitu Hotel
194,Lahad Datu,MY,74.77,scattered clouds,5.0268,118.32700000000001,The 27th House
195,Bluffton,US,78.87,clear sky,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
196,Bentiu,SS,70.9,moderate rain,9.2333,29.8333,Mandela hôtel
197,Gualaceo,EC,76.66,light rain,-2.9,-78.7833,Arhaná Hosteria Resort
198,Avera,US,79.56,clear sky,33.194,-82.5271,
199,Charters Towers,AU,65.08,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
200,Winnemucca,US,75.25,clear sky,40.973,-117.7357,Winners Inn Casino
202,Mar Del Plata,AR,60.82,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
205,Bousso,TD,75.76,broken clouds,10.4795,16.7117,
207,Ewo,CG,77.45,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
209,Georgetown,MY,77.9,moderate rain,5.4112,100.3354,Cititel Penang
212,Ayia Galini,GR,68.76,few clouds,35.1,24.6833,Sunningdale Bungalows
219,Faya,SA,72.12,scattered clouds,18.3851,42.4509,شيلة نسايم
223,Morondava,MG,75.36,clear sky,-20.2833,44.2833,La Case Bambou
225,Lata,PT,66.92,clear sky,40.1629,-8.3327,Casa Maquia
226,Gweta,BW,78.28,clear sky,-20.1833,25.2333,Gweta Lodge
227,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
231,Erzin,TR,70.2,scattered clouds,36.9559,36.2,Artemis Otel
232,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Alize Plage
240,Cidreira,BR,64.4,broken clouds,-30.1811,-50.2056,Hotel Castelo
241,Roma,US,71.51,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
242,Meulaboh,ID,74.19,overcast clouds,4.1363,96.1285,Kost Pria
243,Gorontalo,ID,74.12,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
244,Yulara,AU,65.07,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
245,Marawi,PH,68.47,overcast clouds,7.9986,124.2928,Derogongan Residence
247,Chongqing,CN,65.23,overcast clouds,29.5628,106.5528,Somerset Jiefangbei Chongqing Hotel
248,Kokopo,PG,77.04,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
249,Torbay,CA,62.89,few clouds,47.6666,-52.7314,Gallows Cove
250,Hualmay,PE,66.06,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
256,Hobyo,SO,77.11,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
257,Yuli,NG,75.27,light rain,9.6989,10.2744,
259,Una,IN,78.78,overcast clouds,20.8167,71.0333,Hotel Harbhole
262,Aneho,TG,79.0,scattered clouds,6.2333,1.6,Hotel La Linette
265,Young,UY,72.64,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
266,Itoman,JP,78.82,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
267,San Juan,AR,60.51,overcast clouds,-31.5375,-68.5364,Hotel Provincial
271,Guarapari,BR,75.88,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
274,Ferme-Neuve,CA,68.67,few clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
277,Hamilton,US,78.15,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
281,Lima,PE,62.85,broken clouds,-12.0432,-77.0282,Hotel Kamana
289,Mackay,AU,68.68,few clouds,-21.15,149.2,International Lodge Motel
291,Pringsewu,ID,73.02,overcast clouds,-5.3582,104.9744,Urban Style by Front One
296,Fortuna,US,70.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
301,Tacuati,PY,77.13,broken clouds,-23.45,-56.5833,
302,Mogadishu,SO,77.65,overcast clouds,2.0371,45.3438,Hotel Juba
303,Chabua,IN,72.91,overcast clouds,27.4825,95.1736,Biru Rupam Hotel
305,La Libertad,EC,74.86,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
306,Bukama,CD,79.7,overcast clouds,-9.2,25.85,
307,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
308,Colares,PT,71.28,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
309,Bethel,US,62.19,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
310,Saint Anthony,US,73.26,broken clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
311,Faanui,PF,77.59,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
313,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
315,Bambanglipuro,ID,76.17,overcast clouds,-7.95,110.2833,Puri Brata
318,Yenagoa,NG,75.79,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
319,Grao Mogol,BR,70.57,overcast clouds,-16.5594,-42.8897,Pousada do Eti
324,San Rafael,AR,66.2,broken clouds,-34.6177,-68.3301,Hotel San Rafael
325,Bhanpura,IN,77.95,overcast clouds,24.513,75.7469,HOTEL SHREE FALODI PLACE BHANPURA
327,Pasni,PK,78.42,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
330,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
338,Lunenburg,CA,62.49,overcast clouds,44.3835,-64.3155,Lunenburg Arms Hotel
343,Bundaberg,AU,62.22,scattered clouds,-24.85,152.35,Takalvan Motel
345,Japura,ID,72.95,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
347,Miraflores,MX,70.03,broken clouds,19.2167,-98.8083,Hotel Mansión
349,Dicabisagan,PH,77.27,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
353,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
356,Surt,LY,76.42,clear sky,31.2089,16.5887,فندق المدينة
362,Iquique,CL,62.64,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
364,Sampit,ID,73.63,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
366,Barra Do Garcas,BR,79.38,scattered clouds,-15.89,-52.2567,Pousada Tropical
370,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
373,Nushki,PK,70.32,clear sky,29.5542,66.0215,Shams hotel
374,Batouri,CM,68.47,light rain,4.4333,14.3667,Hotel Hollywood
377,Abu Samrah,SY,73.13,clear sky,35.3029,37.1841,
379,Pemangkat,ID,76.8,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
380,Huaraz,PE,61.45,light rain,-9.5333,-77.5333,EL TUMI HOTEL
381,Lincoln,US,77.29,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
384,Kakonko,TZ,70.93,broken clouds,-3.2828,30.9642,Edward Memorial Guest House
388,Vila Franca Do Campo,PT,71.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
389,Alice Springs,AU,60.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
396,Kalemie,CD,75.96,scattered clouds,-5.9475,29.1947,Mahobilali
397,That Phanom,TH,73.11,broken clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
398,Xiaoweizhai,CN,66.24,broken clouds,26.1903,107.5125,Karst Youth Hostel
400,Maputo,MZ,74.88,few clouds,-25.9653,32.5892,Pestana Rovuma
401,Suraabad,AZ,69.66,clear sky,40.8192,49.4687,
404,Honiara,SB,77.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
407,Taltal,CL,61.48,few clouds,-25.4,-70.4833,Residencial Karime
413,Bud,US,78.85,scattered clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
415,Neyshabur,IR,62.4,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
419,Pierre,US,73.85,clear sky,44.3683,-100.351,Ramkota Hotel
420,Barranca,PE,64.45,clear sky,-10.75,-77.7667,El Olivar Hospedaje
423,Port Shepstone,ZA,68.27,few clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
425,Tanda,IN,71.74,very heavy rain,26.55,82.65,MUMTAZ GANJ TANDA
426,Tursunzoda,TJ,62.31,few clouds,38.5144,68.2333,Osoishgokhi Tabobati
427,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
428,Domoni,KM,74.48,clear sky,-12.2569,44.5319,Al Djadid
429,Gabu,GW,78.66,light rain,12.2833,-14.2167,Hotel karsa
430,Altamirano,MX,73.94,scattered clouds,16.8833,-92.15,
431,Kalawit,PH,78.49,overcast clouds,8.0667,122.5167,Ompoy Pension House
436,Benito Juarez,MX,71.01,broken clouds,19.385,-99.165,Hotel Beverly
438,Dolores,AR,65.64,light rain,-36.3132,-57.6792,Apart Hotel - Arianos
